service_id,date,exception_type
HVI:Timetable:21,20200814,2
HVI:Timetable:21,20200817,2
HVI:Timetable:21,20200818,2
HVI:Timetable:21,20200819,2
HVI:Timetable:21,20200820,2
HVI:Timetable:21,20200821,2
HVI:Timetable:21,20200824,2
HVI:Timetable:21,20200825,2
HVI:Timetable:21,20200826,2
HVI:Timetable:21,20200827,2
HVI:Timetable:21,20200828,2
HVI:Timetable:21,20200831,2
HVI:Timetable:1,20190901,2
HVI:Timetable:1,20190902,2
HVI:Timetable:1,20190903,2
HVI:Timetable:1,20190904,2
HVI:Timetable:1,20190905,2
HVI:Timetable:1,20190906,2
HVI:Timetable:1,20190907,2
HVI:Timetable:1,20190908,2
HVI:Timetable:1,20190909,2
HVI:Timetable:1,20190910,2
HVI:Timetable:1,20190911,2
HVI:Timetable:1,20190912,2
HVI:Timetable:1,20190913,2
HVI:Timetable:1,20190914,2
HVI:Timetable:1,20190915,2
HVI:Timetable:1,20190916,2
HVI:Timetable:1,20190917,2
HVI:Timetable:1,20190918,2
HVI:Timetable:1,20190919,2
HVI:Timetable:1,20190920,2
HVI:Timetable:1,20190921,2
HVI:Timetable:1,20190922,2
HVI:Timetable:1,20190923,2
HVI:Timetable:1,20190924,2
HVI:Timetable:1,20190925,2
HVI:Timetable:1,20190926,2
HVI:Timetable:1,20190927,2
HVI:Timetable:1,20190928,2
HVI:Timetable:1,20190929,2
HVI:Timetable:1,20190930,2
HVI:Timetable:1,20191001,2
HVI:Timetable:1,20191002,2
HVI:Timetable:1,20191003,2
HVI:Timetable:1,20191004,2
HVI:Timetable:1,20191005,2
HVI:Timetable:1,20191006,2
HVI:Timetable:1,20191007,2
HVI:Timetable:1,20191008,2
HVI:Timetable:1,20191009,2
HVI:Timetable:1,20191010,2
HVI:Timetable:1,20191011,2
HVI:Timetable:1,20191012,2
HVI:Timetable:1,20191013,2
HVI:Timetable:1,20191014,2
HVI:Timetable:1,20191015,2
HVI:Timetable:1,20191016,2
HVI:Timetable:1,20191017,2
HVI:Timetable:1,20191018,2
HVI:Timetable:1,20191019,2
HVI:Timetable:1,20191020,2
HVI:Timetable:1,20191021,2
HVI:Timetable:1,20191022,2
HVI:Timetable:1,20191023,2
HVI:Timetable:1,20191024,2
HVI:Timetable:1,20191025,2
HVI:Timetable:1,20191026,2
HVI:Timetable:1,20191027,2
HVI:Timetable:1,20191028,2
HVI:Timetable:1,20191029,2
HVI:Timetable:1,20191030,2
HVI:Timetable:1,20191031,2
HVI:Timetable:1,20191101,2
HVI:Timetable:1,20191102,2
HVI:Timetable:1,20191103,2
HVI:Timetable:1,20191104,2
HVI:Timetable:1,20191105,2
HVI:Timetable:1,20191106,2
HVI:Timetable:1,20191107,2
HVI:Timetable:1,20191108,2
HVI:Timetable:1,20191109,2
HVI:Timetable:1,20191110,2
HVI:Timetable:1,20191111,2
HVI:Timetable:1,20191112,2
HVI:Timetable:1,20191113,2
HVI:Timetable:1,20191114,2
HVI:Timetable:1,20191115,2
HVI:Timetable:1,20191116,2
HVI:Timetable:1,20191117,2
HVI:Timetable:1,20191118,2
HVI:Timetable:1,20191119,2
HVI:Timetable:1,20191120,2
HVI:Timetable:1,20191121,2
HVI:Timetable:1,20191122,2
HVI:Timetable:1,20191123,2
HVI:Timetable:1,20191124,2
HVI:Timetable:1,20191125,2
HVI:Timetable:1,20191126,2
HVI:Timetable:1,20191127,2
HVI:Timetable:1,20191128,2
HVI:Timetable:1,20191129,2
HVI:Timetable:1,20191130,2
HVI:Timetable:1,20191201,2
HVI:Timetable:1,20191202,2
HVI:Timetable:1,20191203,2
HVI:Timetable:1,20191204,2
HVI:Timetable:1,20191205,2
HVI:Timetable:1,20191206,2
HVI:Timetable:1,20191207,2
HVI:Timetable:1,20191208,2
HVI:Timetable:1,20191209,2
HVI:Timetable:1,20191210,2
HVI:Timetable:1,20191211,2
HVI:Timetable:1,20191212,2
HVI:Timetable:1,20191213,2
HVI:Timetable:1,20191214,2
HVI:Timetable:1,20191215,2
HVI:Timetable:1,20191216,2
HVI:Timetable:1,20191217,2
HVI:Timetable:1,20191218,2
HVI:Timetable:1,20191219,2
HVI:Timetable:1,20191220,2
HVI:Timetable:1,20191221,2
HVI:Timetable:1,20191222,2
HVI:Timetable:1,20191223,2
HVI:Timetable:1,20191224,2
HVI:Timetable:1,20191225,2
HVI:Timetable:1,20191226,2
HVI:Timetable:1,20191227,2
HVI:Timetable:1,20191228,2
HVI:Timetable:1,20191229,2
HVI:Timetable:1,20191230,2
HVI:Timetable:1,20191231,2
HVI:Timetable:1,20200101,2
HVI:Timetable:1,20200102,2
HVI:Timetable:1,20200103,2
HVI:Timetable:1,20200104,2
HVI:Timetable:1,20200105,2
HVI:Timetable:1,20200106,2
HVI:Timetable:1,20200107,2
HVI:Timetable:1,20200108,2
HVI:Timetable:1,20200109,2
HVI:Timetable:1,20200110,2
HVI:Timetable:1,20200111,2
HVI:Timetable:1,20200112,2
HVI:Timetable:1,20200113,2
HVI:Timetable:1,20200114,2
HVI:Timetable:1,20200115,2
HVI:Timetable:1,20200116,2
HVI:Timetable:1,20200117,2
HVI:Timetable:1,20200118,2
HVI:Timetable:1,20200119,2
HVI:Timetable:1,20200120,2
HVI:Timetable:1,20200121,2
HVI:Timetable:1,20200122,2
HVI:Timetable:1,20200123,2
HVI:Timetable:1,20200124,2
HVI:Timetable:1,20200125,2
HVI:Timetable:1,20200126,2
HVI:Timetable:1,20200127,2
HVI:Timetable:1,20200128,2
HVI:Timetable:1,20200129,2
HVI:Timetable:1,20200130,2
HVI:Timetable:1,20200131,2
HVI:Timetable:1,20200201,2
HVI:Timetable:1,20200202,2
HVI:Timetable:1,20200203,2
HVI:Timetable:1,20200204,2
HVI:Timetable:1,20200205,2
HVI:Timetable:1,20200206,2
HVI:Timetable:1,20200207,2
HVI:Timetable:1,20200208,2
HVI:Timetable:1,20200209,2
HVI:Timetable:1,20200210,2
HVI:Timetable:1,20200211,2
HVI:Timetable:1,20200212,2
HVI:Timetable:1,20200213,2
HVI:Timetable:1,20200214,2
HVI:Timetable:1,20200215,2
HVI:Timetable:1,20200216,2
HVI:Timetable:1,20200217,2
HVI:Timetable:1,20200218,2
HVI:Timetable:1,20200219,2
HVI:Timetable:1,20200220,2
HVI:Timetable:1,20200221,2
HVI:Timetable:1,20200222,2
HVI:Timetable:1,20200223,2
HVI:Timetable:1,20200224,2
HVI:Timetable:1,20200225,2
HVI:Timetable:1,20200226,2
HVI:Timetable:1,20200227,2
HVI:Timetable:1,20200228,2
HVI:Timetable:1,20200229,2
HVI:Timetable:1,20200301,2
HVI:Timetable:1,20200302,2
HVI:Timetable:1,20200303,2
HVI:Timetable:1,20200304,2
